0	 761
1	 280
1	 945
1	 668
2	 544
3	 866
3	 526
3	 407
4	 600
4	 839
5	 799
5	 771
5	 478
5	 451
9	 744
9	 330
10	 624
10	 419
11	 785
11	 606
13	 994
13	 180
14	 412
14	 789
17	 672
17	 136
17	 218
17	 711
17	 775
18	 65
22	 808
22	 718
26	 697
26	 586
27	 704
27	 946
28	 412
28	 973
29	 169
29	 953
29	 311
30	 916
30	 370
30	 244
30	 238
31	 672
31	 601
31	 444
31	 686
33	 280
33	 297
33	 531
33	 38
34	 188
34	 806
34	 550
36	 698
36	 619
38	 371
38	 990
40	 945
40	 725
43	 489
43	 301
43	 528
43	 597
43	 826
43	 894
44	 857
44	 842
45	 160
45	 450
45	 642
45	 206
47	 311
47	 847
48	 449
48	 95
48	 757
48	 919
51	 860
51	 399
52	 609
52	 782
53	 402
53	 819
53	 782
55	 953
55	 60
60	 442
61	 568
61	 293
61	 887
64	 826
64	 799
65	 922
65	 890
67	 465
67	 965
67	 933
68	 904
68	 785
68	 611
68	 993
69	 652
69	 645
70	 584
70	 777
70	 810
70	 415
72	 753
72	 962
74	 256
74	 379
77	 840
77	 794
77	 180
79	 738
79	 310
81	 394
81	 853
83	 698
83	 643
83	 684
83	 703
85	 429
85	 606
88	 945
88	 838
90	 888
90	 826
92	 161
92	 842
92	 691
95	 390
98	 660
98	 311
101	 978
101	 764
105	 512
105	 184
106	 960
106	 601
107	 984
107	 898
109	 190
109	 158
113	 186
113	 252
118	 826
118	 670
120	 256
120	 949
124	 522
124	 836
125	 130
125	 415
126	 424
126	 886
126	 758
128	 627
128	 771
130	 358
130	 789
131	 968
131	 330
135	 745
135	 997
135	 823
136	 400
136	 718
137	 161
137	 141
137	 783
139	 720
139	 513
141	 446
144	 377
144	 394
144	 307
144	 918
145	 365
145	 846
146	 677
146	 759
150	 828
150	 628
150	 519
152	 977
152	 874
152	 577
152	 609
155	 699
155	 951
155	 550
155	 367
157	 774
157	 927
158	 522
159	 622
160	 768
160	 827
160	 596
160	 669
161	 832
161	 772
161	 680
161	 300
161	 953
169	 794
169	 934
170	 896
170	 561
170	 282
170	 283
175	 184
175	 891
180	 908
180	 364
182	 601
182	 550
186	 571
186	 803
186	 519
187	 768
187	 487
188	 939
190	 561
190	 484
193	 706
193	 556
193	 662
193	 495
194	 931
194	 213
198	 531
198	 670
199	 369
199	 346
202	 322
202	 382
205	 608
205	 288
205	 618
205	 915
205	 324
207	 488
207	 785
207	 390
207	 489
208	 412
208	 973
210	 513
210	 749
211	 849
211	 940
213	 897
215	 548
215	 581
216	 368
216	 226
216	 595
218	 405
218	 501
220	 921
220	 790
224	 351
225	 840
225	 698
225	 571
226	 457
226	 818
229	 322
229	 747
232	 997
232	 895
234	 827
234	 447
236	 752
236	 417
237	 800
237	 797
238	 993
238	 932
240	 410
240	 302
244	 978
244	 407
245	 861
245	 471
249	 744
249	 668
249	 794
249	 924
249	 797
252	 804
252	 917
252	 877
253	 997
253	 358
254	 625
254	 359
255	 424
255	 972
260	 736
260	 396
261	 930
261	 899
261	 558
261	 862
262	 976
262	 809
262	 989
262	 774
265	 314
265	 501
266	 569
266	 686
271	 960
271	 921
271	 754
271	 363
274	 605
274	 725
276	 640
276	 610
277	 865
277	 427
280	 537
281	 889
281	 419
281	 313
282	 609
283	 861
285	 731
285	 660
287	 299
287	 982
287	 519
291	 955
291	 631
292	 364
292	 579
292	 444
293	 938
293	 572
295	 376
295	 305
295	 402
295	 761
297	 808
297	 334
297	 814
297	 449
299	 805
300	 563
300	 701
301	 462
302	 689
302	 851
304	 513
304	 899
304	 605
304	 573
305	 769
307	 714
308	 645
308	 775
309	 864
309	 714
309	 860
309	 927
310	 414
312	 423
313	 946
314	 731
314	 660
314	 597
320	 418
320	 917
324	 681
324	 970
324	 971
324	 495
324	 915
329	 643
329	 927
330	 624
330	 915
330	 574
331	 736
331	 830
333	 766
333	 935
334	 816
337	 963
337	 759
339	 961
339	 662
340	 560
340	 750
342	 674
342	 741
342	 551
342	 559
342	 343
342	 603
343	 825
343	 386
343	 708
344	 709
344	 853
346	 727
346	 964
346	 565
349	 953
349	 572
351	 904
351	 670
353	 867
353	 622
355	 897
355	 541
356	 473
356	 947
357	 801
357	 802
357	 516
357	 776
357	 974
357	 689
357	 818
357	 825
358	 688
359	 597
360	 922
360	 879
360	 789
360	 533
363	 453
364	 473
364	 900
364	 735
365	 888
365	 859
365	 582
365	 585
366	 579
367	 968
367	 644
367	 799
368	 560
369	 524
370	 712
370	 782
371	 720
371	 714
376	 899
377	 848
377	 914
377	 862
377	 447
379	 750
381	 461
381	 637
382	 800
382	 889
382	 668
383	 792
383	 835
383	 956
383	 390
384	 669
384	 749
386	 648
390	 894
391	 753
391	 747
391	 913
392	 875
392	 911
393	 630
393	 807
394	 789
394	 838
396	 970
396	 965
396	 742
397	 930
397	 579
398	 922
398	 860
398	 469
399	 971
399	 428
399	 845
399	 919
399	 509
400	 475
400	 829
401	 705
401	 866
401	 727
407	 700
410	 946
410	 651
410	 581
412	 755
412	 820
414	 953
415	 914
415	 923
416	 424
416	 742
417	 884
417	 694
417	 806
417	 479
418	 847
419	 710
421	 872
421	 714
423	 743
424	 963
424	 502
427	 896
427	 833
427	 996
427	 841
427	 512
428	 680
428	 601
428	 880
429	 796
